ABa,ABA
SAsiwa,SAsiwA
SAswrIya,SAswrIyA
SAswrina,SAswrinI
SAsya,SAsyA
SAta,SAtI
SAva,SAvA
SAvara,SAvarA
SAwa,SAwA
SAwamAna,SAwamAnA
SAwapawraka,SAwapawrakI
SAwrava,SAwravA
SAxvala,SAxvalA
SERyopAXyAyaka,SERyopAXyAyikA
SESira,SESirA
SEXrayma,SEXraymA
SEla,SElI
SEleya,SEleyA
SElya,SElyA
SEva,SEvA
SIGra,SIGrA
SIGrina,SIGrinI
SIGriya,SIGriyA
Sa,SI
SIliwa,SIliwA
SIna,SInA
SIrNa,SIrNA
SIwa,SIwA
SIwala,SIwalA
SIwala,SIwalI
SIwika,SIwikI
SONda,SONdA
SONda,SONdI
SONdIra,SONdIrA
SOkwa,SOkwA
SOrasena,SOrasenI
SOtIra,SOtIrA
SOva,SOvA
SOvAswaka,SOvAswikA
SOvana,SOvanA
SOxra,SOxrA
SUka,SUkA
SUlaka,SUlikA
SUlina,SUlinI
SUlya,SUlyA
SUna,SUnA
SUnya,SUnyA
SUra,SUrA
SUraMmanya,SUraMmanyA
SUrmi,SUrmi
SUrpa,SUrpI
SUxrANa,SUxrANI
SUxra,SUxrA
SUxra,SUxrI
SaMsa,SaMsA
SaMsina,SaMsinI
SaMsiwa,SaMsiwA
SaRkula,SaRkulI
SaTa,SaTA
SaWUwkAra,SaWUwkArA
Sabxana,SabxanA
Sabxiwa,SabxiwA
Saci,Saci
Sacica,SacicI
SafKina,SafKinI
SafgIrNa,SafgIrNA
Safka,SafkA
Safkara,SafkarA
Safkina,SafkinI
Safkiwa,SafkiwA
Safkula,SafkulA
Sakalina,SakalinI
Sakaliwa,SakaliwA
Sakataka,SakatikA
Sakkara,SakkarI
Sakla,SaklA
Sakna,SaknA
SakrANa,SakrANI
Sakula,SakulI
Sakuna,SakunI
Sakunwala,SakunwalA
Sakunwaka,SakunwikA
Sakwa,SakwA
Sakwi,Sakwi
Sakya,SakyA
SalAka,SalAkA
Sallaka,SallakI
Salmala,SalmalI
SamBala,SamBalI
Sama,SamI
Samana,SamanA
Samana,SamanI
Sambala,SambalI
Sambara,SambarI
Sambaka,SambikA
Samina,SaminI
Samiwa,SamiwA
Sampa,SampA
Samya,SamyA
Sapwa,SapwA
SarAti,SarAti
SarAvawa,SarAvawI
