
gaNa	iw_XAwu	mng	paxI	Heritage	saMsAXanI	Apte-dict-form
BvAxiH	Sataz	avasAxane	pa.pa	-	Sat1	Sat
BvAxiH	Sataz	gawO	pa.pa	-	Sat1	Sat
BvAxiH	Sataz	rujAyAm	pa.pa	-	Sat1	Sat
BvAxiH	Sataz	viSaraNe	pa.pa	-	Sat1	Sat
BvAxiH	vataz	pariBARaNe	pa.pa	-	vat1	vat
BvAxiH	vataz	veRtane	pa.pa	-	vat1	vat
BvAxiH	kitaz	gawO	pa.pa	-	kit1	kit
BvAxiH	kitaz	uwwrAse	pa.pa	-	kit1	kit
BvAxiH	Kitaz	uwwrAse	pa.pa	-	Kit1	Kit
BvAxiH	Sitaz	anAxare	pa.pa	-	Sit1	Sit
BvAxiH	Ritaz	anAxare	pa.pa	-	Rit1	sit
BvAxiH	jataz	safGAwe	pa.pa	-	jat1	jat
BvAxiH	Jataz	safGAwe	pa.pa	-	Jat1	Jat
BvAxiH	Bataz	BqwO	pa.pa	-	Bat1	Bat
